"","kmodes"
"639",2
"640",1
"641",1
"642",1
"643",3
"644",3
"645",1
"646",2
"647",1
"648",1
"649",1
"650",3
"651",2
"652",1
"653",1
"654",1
"655",1
"656",1
"657",1
"658",1
"659",2
"660",3
"661",3
"662",1
"663",1
"664",1
"665",1
"666",3
"667",3
"668",1
"669",1
"670",1
"671",1
"672",3
"673",2
"674",1
"675",2
"676",1
"677",1
"678",1
"679",2
"680",1
"681",3
"682",1
"683",1
"684",3
"685",1
"686",3
"687",1
"688",1
"689",1
"690",1
"691",1
"692",1
"693",1
"694",1
"695",1
"696",2
"697",1
"698",1
"699",1
"700",1
"701",1
"702",1
"703",1
"704",1
"705",3
"706",1
"707",1
"708",3
"709",1
"710",1
"711",3
"712",1
"713",2
"714",1
"715",1
"716",3
"717",2
"718",1
"719",1
"720",1
"721",1
"722",3
"723",3
"724",1
"725",1
"726",3
"727",1
"728",1
"729",1
"730",2
"731",1
"732",1
"733",3
"734",1
"735",1
"736",1
"737",1
"738",1
"739",2
"740",1
"741",1
"742",1
"743",1
"744",1
"745",1
"746",1
"747",3
"748",3
"749",3
"750",3
"751",1
"752",1
"753",1
"754",2
"755",3
"756",1
"757",1
"758",3
"759",3
"760",1
"761",1
"762",3
"763",3
"764",1
"765",1
"766",1
"767",1
"768",2
"769",1
"770",1
"771",1
"772",2
"773",3
"774",1
"775",3
"776",3
"777",1
"778",1
"779",1
"780",1
"781",1
"782",1
"783",1
"784",3
"785",3
"786",1
"787",1
"788",1
"789",1
"790",3
"791",3
"792",2
"793",1
"794",2
"795",3
"796",3
"797",2
"798",1
"799",1
"800",1
"801",2
"802",1
"803",1
"804",1
"805",1
"806",1
"807",3
"808",3
"809",1
"810",3
"811",2
"812",1
"813",3
"814",1
"815",1
"816",2
"817",2
"818",1
"819",1
"820",2
"821",2
"822",1
"823",1
"824",1
"825",3
"826",1
"827",1
"828",2
"829",1
"830",1
"831",1
"832",2
"833",1
"834",1
"835",1
"836",1
"837",1
"838",1
"839",3
"840",2
"841",1
"842",2
"843",2
"844",1
"845",3
"846",2
"847",1
"848",1
"849",1
"850",1
"851",3
"852",3
"853",3
"854",3
"855",1
"856",1
"857",1
"858",1
"859",3
"860",1
"861",1
"862",1
"863",3
"864",1
"865",1
"866",3
"867",3
"868",1
"869",1
"870",3
"871",1
"872",1
"873",2
"874",2
"875",2
"876",3
"877",3
"878",2
"879",2
"880",1
"881",1
"882",3
"883",2
"884",1
"885",1
"886",2
"887",3
"888",3
"889",3
"890",3
"891",2
"892",3
"893",2
"894",3
"895",3
"896",3
"897",1
"898",1
"899",1
"900",3
"901",3
"902",1
"903",3
"904",1
"905",3
"906",3
"907",2
"908",3
"909",1
"910",3
"911",3
"912",3
"913",3
"914",3
"915",3
"916",1
"917",3
"918",2
"919",3
"920",3
"921",2
"922",1
"923",3
"924",3
"925",3
"926",2
"927",2
"928",3
"929",3
"930",3
"931",1
"932",3
"933",3
"934",2
"935",3
"936",2
"937",2
"938",2
"939",2
"940",2
"941",2
"942",3
"943",2
"944",1
"945",1
"946",1
"947",3
"948",1
"949",3
"950",3
"951",3
"952",3
"953",2
"954",3
"955",3
"956",3
"957",3
"958",3
"959",3
"960",2
"961",1
"962",3
"963",3
"964",3
"965",1
"966",3
"967",1
"968",3
"969",3
"970",3
"971",3
