"","pam.res.clustering"
"1",1
"2",1
"3",2
"4",1
"5",2
"6",2
"7",3
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",4
"18",4
"19",2
"20",2
"21",2
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",2
"33",1
"34",1
"35",1
"36",1
"37",3
"38",1
"39",1
"40",2
"41",1
"42",1
"43",1
"44",1
"45",1
"46",2
"47",3
"48",2
"49",2
"50",3
"51",2
"52",2
"53",3
"54",2
"55",1
"56",1
"57",3
"58",2
"59",2
"60",2
"61",2
"62",1
"63",1
"64",2
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",3
"99",2
"100",3
"101",4
"102",4
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",3
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",4
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",4
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",3
"149",2
"150",2
"151",4
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",4
"159",4
"160",1
"161",2
"162",2
"163",2
"164",2
"165",1
"166",1
"167",3
"168",2
"169",2
"170",2
"171",2
"172",3
"173",2
"174",3
"175",2
"176",4
"177",4
"178",4
"179",4
"180",4
"181",4
"182",4
"183",4
"184",2
"185",4
"186",4
"187",4
"188",4
"189",4
"190",3
"191",2
"192",2
"193",2
"194",4
"195",2
"196",2
"197",2
"198",2
"199",2
"200",1
"201",3
"202",2
"203",2
"204",2
"205",2
"206",4
"207",2
"208",4
"209",4
"210",2
"211",2
"212",4
"213",4
"214",2
"215",2
"216",2
"217",1
"218",4
"219",4
"220",2
"221",4
"222",4
"223",4
"224",4
"225",2
"226",3
"227",2
"228",1
"229",4
"230",4
"231",4
"232",2
"233",1
"234",2
"235",1
"236",1
"237",1
"238",1
"239",3
"240",1
"241",4
"242",4
"243",3
"244",4
"245",3
"246",4
"247",4
"248",4
"249",4
"250",4
"251",1
"252",1
"253",4
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",3
"264",1
"265",3
"266",1
"267",1
"268",1
"269",3
"270",1
"271",1
"272",1
"273",1
"274",3
"275",3
"276",3
"277",1
"278",3
"279",3
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",3
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",3
"297",1
"298",3
"299",3
"300",3
"301",3
"302",1
"303",1
"304",1
"305",1
"306",3
"307",1
"308",1
"309",3
"310",3
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",3
"318",1
"319",1
"320",3
"321",1
"322",1
"323",1
"324",1
"325",4
"326",3
"327",1
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",3
"341",4
"342",1
"343",3
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",3
"351",1
"352",3
"353",3
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",4
"362",1
"363",1
"364",4
"365",2
"366",1
"367",1
"368",4
"369",1
"370",1
"371",2
"372",1
"373",1
"374",1
"375",1
"376",3
"377",3
"378",1
"379",3
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",2
"398",4
"399",2
"400",1
"401",2
"402",3
"403",2
"404",2
"405",1
"406",1
"407",4
"408",1
"409",1
"410",2
"411",1
"412",1
"413",2
"414",1
"415",1
"416",1
"417",1
"418",3
"419",2
"420",1
"421",4
"422",1
"423",2
"424",4
"425",3
"426",2
"427",4
"428",1
"429",4
"430",1
"431",4
"432",3
"433",3
"434",5
"435",1
"436",1
"437",5
"438",1
"439",1
"440",1
"441",3
"442",1
"443",3
"444",3
"445",3
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",3
"456",1
"457",3
"458",1
"459",1
"460",1
"461",3
"462",3
"463",5
"464",1
"465",1
"466",1
"467",1
"468",3
"469",1
"470",1
"471",1
"472",1
"473",3
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
