population,age,white,minority,tot_households,average_household_size,married_households,nonfamily_households,median_household_income,owner,renter,median_gross_rent,tot_gross_rent_as_percent_of_income,less_than_30_of_income,more_than_30_of_income,median_gross_rent_as_percent_of_income,median_n_rooms,less_than_high_school,high_school,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,employed,unemployed
76.0,36.3,1.0,0.0,460.0,3.22,0.7195652173913043,0.1565217391304348,124667.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.01780104712041885,0.30052356020942406,0.33403141361256544,0.0387434554973822,0.0,0.0,0.6706096451319381,0.0
95.0,39.8,0.9328621908127208,0.06713780918727916,412.0,2.75,0.5339805825242718,0.25728155339805825,104419.0,0.9708480565371025,0.029151943462897525,894.0,33.0,0.015017667844522967,0.014134275618374558,19.7,5.6,0.03392330383480826,0.23893805309734514,0.21386430678466076,0.05014749262536873,0.0,0.0,0.5569476082004556,0.02847380410022779
109.0,29.9,0.9784172661870504,0.02158273381294964,451.0,3.08,0.6851441241685144,0.2838137472283814,115125.0,0.7669064748201438,0.23309352517985613,1560.0,102.0,0.07338129496402877,0.0,21.2,5.3,0.0,0.11751412429378531,0.2497175141242938,0.19661016949152543,0.007909604519774011,0.0,0.7535135135135135,0.0075675675675675675
67.0,39.0,0.9615819209039548,0.0384180790960452,291.0,3.04,0.6460481099656358,0.13745704467353953,131563.0,0.768361581920904,0.23163841807909605,1145.0,58.0,0.03954802259887006,0.02598870056497175,11.3,6.1,0.060034305317324184,0.1646655231560892,0.2864493996569468,0.18181818181818182,0.018867924528301886,0.015437392795883362,0.7335164835164835,0.0
192.0,36.5,0.7557034220532319,0.24429657794676807,859.0,2.43,0.41559953434225844,0.4062863795110594,81484.0,0.7193486590038314,0.28065134099616856,925.0,346.0,0.13840996168582376,0.020114942528735632,22.9,5.3,0.006702412868632708,0.1836461126005362,0.26943699731903487,0.12734584450402145,0.004691689008042895,0.013404825737265416,0.7505854800936768,0.01873536299765808
62.0,36.3,0.897196261682243,0.102803738317757,259.0,2.89,0.6216216216216216,0.1776061776061776,87566.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.09833024118738404,0.24304267161410018,0.2189239332096475,0.025974025974025976,0.0,0.0,0.6107142857142858,0.04107142857142857
45.0,42.6,0.8038049940546967,0.1961950059453032,375.0,2.23,0.36,0.36533333333333334,77933.0,0.7117224880382775,0.28827751196172247,0.0,87.0,0.06698564593301436,0.03708133971291866,0.0,5.3,0.06581059390048154,0.33547351524879615,0.11235955056179775,0.07865168539325842,0.0,0.0,0.6695526695526696,0.001443001443001443
89.0,31.2,0.7287278854254423,0.2712721145745577,375.0,3.03,0.448,0.3546666666666667,29508.0,0.7115215479331575,0.2884784520668426,722.0,118.0,0.036939313984168866,0.06684256816182937,48.8,5.6,0.20572207084468666,0.2997275204359673,0.17029972752043596,0.027247956403269755,0.0,0.0,0.5870818915801614,0.0922722029988466
61.0,53.1,0.0,1.0,291.0,3.07,0.16151202749140894,0.4570446735395189,28882.0,0.4517937219730942,0.5482062780269058,1210.0,131.0,0.0,0.1468609865470852,49.5,5.5,0.08926080892608089,0.2594142259414226,0.03347280334728033,0.05439330543933055,0.0,0.0,0.355638166047088,0.09789343246592318
82.0,26.1,0.012841091492776886,0.9871589085072231,377.0,3.14,0.15119363395225463,0.5092838196286472,23327.0,0.6711749788672866,0.32882502113271345,723.0,159.0,0.014370245139475908,0.11158072696534235,47.3,5.8,0.25606060606060604,0.1590909090909091,0.05909090909090909,0.08181818181818182,0.0,0.0,0.30673316708229426,0.1396508728179551
54.0,49.5,0.6307448494453248,0.3692551505546751,288.0,2.19,0.3993055555555556,0.4166666666666667,0.0,0.7670364500792393,0.2329635499207607,838.0,87.0,0.0,0.07290015847860538,50.0,4.5,0.045454545454545456,0.25946969696969696,0.14393939393939395,0.14393939393939395,0.08901515151515152,0.0,0.576068376068376,0.11452991452991453
70.0,45.4,0.168,0.832,297.0,2.95,0.5824915824915825,0.2053872053872054,95739.0,0.9702857142857143,0.029714285714285714,0.0,26.0,0.006857142857142857,0.022857142857142857,50.0,6.4,0.03005008347245409,0.05676126878130217,0.2387312186978297,0.2287145242070117,0.0,0.011686143572621035,0.6133333333333333,0.088
36.0,31.7,1.0,0.0,204.0,2.34,0.5294117647058824,0.3333333333333333,89833.0,0.6485355648535565,0.3514644351464435,1531.0,63.0,0.09205020920502092,0.0397489539748954,25.5,5.6,0.04177545691906005,0.08877284595300261,0.30809399477806787,0.17754569190600522,0.0,0.020887728459530026,0.7258883248730964,0.0
44.0,46.8,0.40715268225584594,0.5928473177441541,244.0,2.87,0.5655737704918032,0.3237704918032787,71250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.06111111111111111,0.3592592592592593,0.07407407407407407,0.10555555555555556,0.0,0.053703703703703705,0.28040540540540543,0.10304054054054054
98.0,41.6,0.9496527777777778,0.050347222222222224,434.0,2.65,0.5737327188940092,0.2304147465437788,91859.0,0.8975694444444444,0.10243055555555555,923.0,79.0,0.034722222222222224,0.033854166666666664,24.8,5.9,0.028645833333333332,0.3111979166666667,0.12890625,0.0859375,0.0,0.0,0.6531073446327683,0.04971751412429379
97.0,45.8,0.9510703363914373,0.04892966360856269,259.0,2.51,0.5868725868725869,0.32432432432432434,124250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.11158798283261803,0.351931330472103,0.21244635193133046,0.0536480686695279,0.023605150214592276,0.7345794392523365,0.0
