white,minority,median_household_income,less_than_high_school,high_school,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,employed,unemployed
1.0,0.0,124667.0,0.01780104712041885,0.30052356020942406,0.33403141361256544,0.0387434554973822,0.0,0.0,0.6706096451319381,0.0
0.9328621908127208,0.06713780918727916,104419.0,0.03392330383480826,0.23893805309734514,0.21386430678466076,0.05014749262536873,0.0,0.0,0.5569476082004556,0.02847380410022779
0.9784172661870504,0.02158273381294964,115125.0,0.0,0.11751412429378531,0.2497175141242938,0.19661016949152543,0.007909604519774011,0.0,0.7535135135135135,0.0075675675675675675
0.9615819209039548,0.0384180790960452,131563.0,0.060034305317324184,0.1646655231560892,0.2864493996569468,0.18181818181818182,0.018867924528301886,0.015437392795883362,0.7335164835164835,0.0
0.7557034220532319,0.24429657794676807,81484.0,0.006702412868632708,0.1836461126005362,0.26943699731903487,0.12734584450402145,0.004691689008042895,0.013404825737265416,0.7505854800936768,0.01873536299765808
0.897196261682243,0.102803738317757,87566.0,0.09833024118738404,0.24304267161410018,0.2189239332096475,0.025974025974025976,0.0,0.0,0.6107142857142858,0.04107142857142857
0.8038049940546967,0.1961950059453032,77933.0,0.06581059390048154,0.33547351524879615,0.11235955056179775,0.07865168539325842,0.0,0.0,0.6695526695526696,0.001443001443001443
0.7287278854254423,0.2712721145745577,29508.0,0.20572207084468666,0.2997275204359673,0.17029972752043596,0.027247956403269755,0.0,0.0,0.5870818915801614,0.0922722029988466
0.0,1.0,28882.0,0.08926080892608089,0.2594142259414226,0.03347280334728033,0.05439330543933055,0.0,0.0,0.355638166047088,0.09789343246592318
0.012841091492776886,0.9871589085072231,23327.0,0.25606060606060604,0.1590909090909091,0.05909090909090909,0.08181818181818182,0.0,0.0,0.30673316708229426,0.1396508728179551
0.6307448494453248,0.3692551505546751,0.0,0.045454545454545456,0.25946969696969696,0.14393939393939395,0.14393939393939395,0.08901515151515152,0.0,0.576068376068376,0.11452991452991453
0.168,0.832,95739.0,0.03005008347245409,0.05676126878130217,0.2387312186978297,0.2287145242070117,0.0,0.011686143572621035,0.6133333333333333,0.088
1.0,0.0,89833.0,0.04177545691906005,0.08877284595300261,0.30809399477806787,0.17754569190600522,0.0,0.020887728459530026,0.7258883248730964,0.0
0.40715268225584594,0.5928473177441541,71250.0,0.06111111111111111,0.3592592592592593,0.07407407407407407,0.10555555555555556,0.0,0.053703703703703705,0.28040540540540543,0.10304054054054054
0.9496527777777778,0.050347222222222224,91859.0,0.028645833333333332,0.3111979166666667,0.12890625,0.0859375,0.0,0.0,0.6531073446327683,0.04971751412429379
0.9510703363914373,0.04892966360856269,124250.0,0.0,0.11158798283261803,0.351931330472103,0.21244635193133046,0.0536480686695279,0.023605150214592276,0.7345794392523365,0.0
0.8928571428571429,0.10714285714285714,69397.0,0.030852994555353903,0.18784029038112524,0.3030852994555354,0.15063520871143377,0.0426497277676951,0.020871143375680582,0.7216666666666667,0.015
0.8681710213776722,0.13182897862232779,53125.0,0.11203319502074689,0.35684647302904565,0.11618257261410789,0.14522821576763487,0.0,0.0,0.6300884955752213,0.06725663716814159
0.944954128440367,0.05504587155963303,86389.0,0.03202846975088968,0.17437722419928825,0.2615658362989324,0.17793594306049823,0.037366548042704624,0.008896797153024912,0.5643086816720257,0.06270096463022508
0.9349904397705545,0.06500956022944551,50250.0,0.18032786885245902,0.3679417122040073,0.16393442622950818,0.0,0.0,0.0,0.5210674157303371,0.12219101123595505
0.9531040643144261,0.04689593568557392,40764.0,0.2262295081967213,0.4970491803278689,0.05573770491803279,0.010491803278688525,0.0,0.0,0.6105686387133831,0.07466973004020677
0.0,1.0,8704.0,0.17341040462427745,0.22736030828516376,0.028901734104046242,0.04431599229287091,0.0,0.0,0.31341463414634146,0.3170731707317073
0.7582655826558266,0.24173441734417345,38750.0,0.23561946902654868,0.22123893805309736,0.1913716814159292,0.03982300884955752,0.008849557522123894,0.0,0.5004633920296571,0.029657089898053754
0.9318290926548247,0.06817090734517522,62500.0,0.08742774566473989,0.3236994219653179,0.16618497109826588,0.07947976878612717,0.0,0.0,0.5538563829787234,0.0511968085106383
0.0,1.0,20815.0,0.08067940552016985,0.2781316348195329,0.07218683651804671,0.01910828025477707,0.01910828025477707,0.0,0.5942028985507246,0.19001610305958133
0.014684287812041116,0.9853157121879589,41653.0,0.045081967213114756,0.39549180327868855,0.01639344262295082,0.03483606557377049,0.0,0.0,0.5062111801242236,0.20186335403726707
0.008651766402307137,0.9913482335976929,34600.0,0.1411637931034483,0.36637931034482757,0.09375,0.09590517241379311,0.0,0.03771551724137931,0.3536918869644485,0.049225159525979945
0.38493723849372385,0.6150627615062761,65286.0,0.08591549295774648,0.1415492957746479,0.3,0.16408450704225352,0.044366197183098595,0.011267605633802818,0.4614427860696517,0.06281094527363185
0.7656765676567657,0.23432343234323433,108214.0,0.0,0.1167608286252354,0.1431261770244821,0.1864406779661017,0.03766478342749529,0.0,0.7559808612440191,0.028708133971291867
0.0,1.0,62734.0,0.23095238095238096,0.22857142857142856,0.07142857142857142,0.0,0.0,0.0,0.44672131147540983,0.15163934426229508
0.6175972927241963,0.3824027072758037,38026.0,0.22769953051643194,0.19953051643192488,0.19483568075117372,0.12910798122065728,0.035211267605633804,0.0,0.5080645161290323,0.11895161290322581
0.05025125628140704,0.949748743718593,46500.0,0.11079545454545454,0.23579545454545456,0.10227272727272728,0.1846590909090909,0.0,0.0,0.56672760511883,0.23948811700182815
