"","kmodes"
"639",3
"640",3
"641",3
"642",3
"643",3
"644",1
"645",3
"646",1
"647",3
"648",1
"649",3
"650",3
"651",1
"652",3
"653",3
"654",1
"655",3
"656",3
"657",1
"658",3
"659",3
"660",3
"661",1
"662",3
"663",3
"664",3
"665",3
"666",1
"667",3
"668",1
"669",3
"670",3
"671",2
"672",3
"673",3
"674",3
"675",3
"676",3
"677",3
"678",1
"679",1
"680",1
"681",1
"682",3
"683",3
"684",3
"685",1
"686",1
"687",1
"688",3
"689",1
"690",3
"691",3
"692",3
"693",1
"694",3
"695",3
"696",3
"697",1
"698",2
"699",3
"700",1
"701",1
"702",1
"703",3
"704",3
"705",3
"706",3
"707",3
"708",1
"709",3
"710",3
"711",3
"712",3
"713",3
"714",1
"715",1
"716",3
"717",3
"718",1
"719",3
"720",3
"721",3
"722",3
"723",3
"724",3
"725",1
"726",3
"727",2
"728",3
"729",1
"730",2
"731",1
"732",1
"733",1
"734",1
"735",1
"736",2
"737",2
"738",2
"739",3
"740",2
"741",1
"742",1
"743",3
"744",2
"745",2
"746",1
"747",3
"748",3
"749",2
"750",1
"751",1
"752",1
"753",1
"754",2
"755",3
"756",1
"757",3
"758",1
"759",3
"760",1
"761",2
"762",1
"763",3
"764",3
"765",1
"766",3
"767",3
"768",3
"769",1
"770",3
"771",1
"772",1
"773",3
"774",3
"775",3
"776",3
"777",3
"778",1
"779",1
"780",3
"781",3
"782",2
"783",3
"784",1
"785",1
"786",3
"787",3
"788",1
"789",3
"790",2
"791",1
"792",2
"793",3
"794",3
"795",3
"796",3
"797",1
"798",1
"799",3
"800",3
"801",3
"802",3
"803",3
"804",1
"805",1
"806",3
"807",1
"808",3
"809",3
"810",3
"811",3
"812",1
"813",3
"814",3
"815",1
"816",1
"817",2
"818",3
"819",3
"820",3
"821",3
"822",3
"823",1
"824",1
"825",1
"826",1
"827",3
"828",1
"829",3
"830",3
"831",3
"832",3
"833",3
"834",3
"835",3
"836",3
"837",3
"838",3
"839",2
"840",1
"841",1
"842",3
"843",1
"844",3
"845",3
"846",3
"847",3
"848",3
"849",1
"850",3
"851",1
"852",3
"853",3
"854",1
"855",3
"856",3
"857",1
"858",1
"859",1
"860",1
"861",3
"862",1
"863",1
"864",1
"865",3
"866",3
"867",3
"868",3
"869",3
"870",3
"871",3
"872",3
"873",3
"874",3
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",1
"882",1
"883",2
"884",1
"885",1
"886",1
"887",2
"888",2
"889",1
"890",2
"891",3
"892",1
"893",2
"894",1
"895",1
"896",2
"897",2
"898",1
"899",3
"900",2
"901",1
"902",3
"903",1
"904",3
"905",1
"906",3
"907",3
"908",2
"909",3
"910",1
"911",3
"912",1
"913",1
"914",1
"915",1
"916",1
"917",1
"918",1
"919",1
"920",3
"921",1
"922",3
"923",3
"924",2
"925",2
"926",2
"927",1
"928",2
"929",1
"930",1
"931",3
"932",3
"933",2
"934",2
"935",1
"936",1
"937",1
"938",1
"939",3
"940",1
"941",1
"942",2
"943",2
"944",3
"945",3
"946",1
"947",3
"948",3
"949",3
"950",1
"951",3
"952",3
"953",1
"954",3
"955",3
"956",3
"957",3
"958",3
"959",3
"960",3
"961",1
"962",3
"963",3
"964",1
"965",3
"966",1
"967",3
"968",3
"969",3
"970",1
"971",1
"972",1
"973",1
"974",1
"975",1
"976",3
"977",1
"978",1
"979",1
"980",1
"981",1
"982",1
"983",1
"984",2
"985",1
"986",3
"987",3
"988",1
"989",1
"990",1
"991",1
"992",1
"993",3
"994",3
"995",3
"996",1
