"","kmodes"
"639",5
"640",1
"641",3
"642",5
"643",5
"644",5
"645",5
"646",5
"647",5
"648",3
"649",5
"650",5
"651",5
"652",5
"653",5
"654",5
"655",5
"656",5
"657",3
"658",5
"659",5
"660",3
"661",3
"662",5
"663",3
"664",5
"665",5
"666",3
"667",5
"668",3
"669",3
"670",5
"671",3
"672",5
"673",5
"674",3
"675",5
"676",5
"677",5
"678",2
"679",3
"680",3
"681",3
"682",3
"683",3
"684",3
"685",3
"686",3
"687",3
"688",3
"689",3
"690",3
"691",3
"692",5
"693",3
"694",5
"695",3
"696",3
"697",1
"698",3
"699",3
"700",3
"701",3
"702",3
"703",5
"704",5
"705",5
"706",3
"707",3
"708",3
"709",5
"710",4
"711",4
"712",3
"713",5
"714",3
"715",3
"716",3
"717",3
"718",3
"719",3
"720",5
"721",3
"722",5
"723",3
"724",3
"725",1
"726",5
"727",2
"728",2
"729",1
"730",1
"731",1
"732",1
"733",1
"734",1
"735",2
"736",2
"737",1
"738",1
"739",2
"740",1
"741",1
"742",1
"743",2
"744",1
"745",1
"746",1
"747",5
"748",5
"749",5
"750",1
"751",2
"752",1
"753",2
"754",2
"755",2
"756",1
"757",2
"758",1
"759",4
"760",1
"761",1
"762",1
"763",2
"764",2
"765",2
"766",5
"767",2
"768",5
"769",2
"770",2
"771",5
"772",2
"773",2
"774",2
"775",2
"776",2
"777",2
"778",2
"779",2
"780",2
"781",2
"782",5
"783",2
"784",2
"785",2
"786",2
"787",2
"788",2
"789",2
"790",2
"791",2
"792",5
"793",5
"794",5
"795",5
"796",5
"797",3
"798",3
"799",5
"800",5
"801",2
"802",5
"803",5
"804",3
"805",5
"806",3
"807",3
"808",3
"809",3
"810",3
"811",5
"812",3
"813",5
"814",5
"815",1
"816",3
"817",4
"818",4
"819",4
"820",4
"821",4
"822",4
"823",5
"824",3
"825",5
"826",2
"827",3
"828",1
"829",5
"830",4
"831",4
"832",3
"833",3
"834",4
"835",4
"836",4
"837",4
"838",4
"839",3
"840",3
"841",2
"842",3
"843",5
"844",5
"845",4
"846",5
"847",3
"848",3
"849",3
"850",3
"851",3
"852",5
"853",3
"854",3
"855",3
"856",3
"857",3
"858",3
"859",3
"860",3
"861",3
"862",3
"863",3
"864",3
"865",5
"866",5
"867",5
"868",5
"869",5
"870",3
"871",3
"872",3
"873",5
"874",3
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",1
"882",2
"883",1
"884",1
"885",1
"886",1
"887",2
"888",2
"889",1
"890",1
"891",2
"892",1
"893",2
"894",1
"895",1
"896",1
"897",1
"898",1
"899",5
"900",3
"901",1
"902",2
"903",3
"904",5
"905",1
"906",2
